The following modules were not unloaded:
  (Use "module --force purge" to unload all):

  1) CCconfig        6)  ucx/1.14.1         11) flexiblas/3.3.1
  2) gentoo/2023     7)  libfabric/1.18.0   12) imkl/2023.2.0
  3) gcccore/.12.3   8)  pmix/4.2.4         13) StdEnv/2023
  4) gcc/12.3        9)  ucc/1.2.0
  5) hwloc/2.9.1     10) openmpi/4.1.5
Minimizing...
#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
510,-1669561.0105120838,10151.057162974603,12.476154746308824,1000.0,0.9800454063971142
520,-1667527.8132464588,12670.008623288082,15.572071527463315,1000.0,0.9800454063971142
530,-1665484.8601214588,14951.71982688158,18.37640821923673,1000.0,0.9800454063971142
540,-1663398.8835589588,17140.191529869426,21.06614892171086,1000.0,0.9800454063971142
550,-1661216.5573870838,19178.725804338865,23.57160905808964,1000.0,0.9800454063971142
560,-1659116.7038714588,21200.814576461562,26.05685685314626,1000.0,0.9800454063971142
570,-1657038.9030902088,23118.12921564203,28.41333202137093,1000.0,0.9800454063971142
580,-1654938.0105120838,24923.355965593484,30.632045592083468,1000.0,0.9800454063971142
590,-1652982.0554339588,26707.053404661303,32.82429856762319,1000.0,0.9800454063971142
600,-1651095.8933245838,28696.335537763298,35.26922536964852,1000.0,0.9800454063971142
610,-1604825.6101214588,82099.67232986682,100.90458561741723,1000.0,0.9800454063971142
620,-1597854.6745745838,84010.34718819376,103.2529001643312,1000.0,0.9800454063971142
630,-1594668.2780902088,86914.53297091914,106.82228911127457,1000.0,0.9800454063971142
640,-1588554.0612933338,87642.41491751172,107.7168922700329,1000.0,0.9800454063971142
650,-1583283.9109027088,88261.22770594509,108.47744400208789,1000.0,0.9800454063971142
660,-1579826.7937152088,91279.94916306844,112.18760299640859,1000.0,0.9800454063971142
670,-1576391.0359027088,94259.59470040353,115.84973573944278,1000.0,0.9800454063971142
680,-1573355.4226214588,97303.7575542174,119.59116347720342,1000.0,0.9800454063971142
690,-1571168.9167620838,101027.72033788133,124.16809918080176,1000.0,0.9800454063971142
700,-1568396.8269183338,104487.18196445137,128.41994979094625,1000.0,0.9800454063971142
Temperature of 310K reached
Begin production steps...
710,-1495978.0241839588,181156.8729926434,222.6508179913879,1000.0,0.9800454063971142
720,-1494952.9323870838,185330.54032796732,227.78046298295024,1000.0,0.9800454063971142
730,-1488099.6511370838,180462.86675535314,221.79784976627357,1000.0,0.9800454063971142
740,-1482062.3816058338,177535.00473554942,218.19936154495343,1000.0,0.9800454063971142
750,-1476422.8581683338,174790.64046162585,214.82640119097204,1000.0,0.9800454063971142
760,-1473856.9909808338,175027.15339786548,215.1170873672643,1000.0,0.9800454063971142
770,-1471565.1452777088,175487.23940578266,215.68255598193463,1000.0,0.9800454063971142
780,-1470603.5632464588,177491.6693270977,218.1461001699894,1000.0,0.9800454063971142
790,-1469418.2038714588,179177.54741335727,220.2181282898096,1000.0,0.9800454063971142
800,-1467839.3347308338,180609.22120619076,221.9777266743774,1000.0,0.9800454063971142
810,-1467723.4011370838,183341.1924754381,225.3354554084762,1000.0,0.9800454063971142
820,-1464868.7077777088,183371.75792931253,225.37302187335825,1000.0,0.9800454063971142
830,-1463297.1648089588,184861.8650879318,227.20443777428784,1000.0,0.9800454063971142
840,-1461374.2155902088,185535.33877856666,228.0321704771018,1000.0,0.9800454063971142
850,-1459673.8620745838,186756.15612995822,229.53261579510226,1000.0,0.9800454063971142
860,-1457999.0769183338,187554.1530952548,230.51339380337103,1000.0,0.9800454063971142
870,-1457058.9128558338,189005.94772582984,232.29772169948217,1000.0,0.9800454063971142
880,-1455831.3171527088,189966.43412063143,233.47820730811188,1000.0,0.9800454063971142
890,-1453430.6081683338,190035.6540696589,233.56328207241802,1000.0,0.9800454063971142
900,-1452744.0241839588,191471.99718190575,235.32861928306335,1000.0,0.9800454063971142
910,-1450651.0984027088,192050.83484679565,236.04003959763895,1000.0,0.9800454063971142
920,-1449523.0808245838,193458.59160107403,237.77024275082383,1000.0,0.9800454063971142
930,-1447762.9968402088,194122.82445755735,238.58661800829898,1000.0,0.9800454063971142
940,-1446841.1765277088,195117.11603010006,239.80865186377167,1000.0,0.9800454063971142
950,-1446254.5827777088,196846.36250134493,241.93398188835778,1000.0,0.9800454063971142
960,-1444103.5456683338,197224.43983308203,242.39865775621007,1000.0,0.9800454063971142
970,-1443442.8327777088,198492.5473715053,243.95722506898574,1000.0,0.9800454063971142
980,-1442994.7448870838,199938.7180759349,245.73464087980904,1000.0,0.9800454063971142
990,-1441042.5534808338,200094.58701522753,245.92621156801783,1000.0,0.9800454063971142
1000,-1439352.6296527088,200275.79058005562,246.1489197726001,1000.0,0.9800454063971142
1010,-1438363.9499652088,200946.51242017047,246.97327031409085,1000.0,0.9800454063971142
1020,-1436793.1062152088,201263.92033499127,247.36338044739318,1000.0,0.9800454063971142
1030,-1437102.1296527088,203820.4501318351,250.50548287543495,1000.0,0.9800454063971142
1040,-1434305.0964495838,202809.79327934637,249.26333527596543,1000.0,0.9800454063971142
1050,-1433640.3015277088,204293.936214542,251.0874208493064,1000.0,0.9800454063971142
1060,-1431693.6628558338,204297.51244529802,251.09181621499138,1000.0,0.9800454063971142
1070,-1430544.3386370838,204897.33638836048,251.82902971049648,1000.0,0.9800454063971142
1080,-1429977.6589495838,206168.3067616307,253.39111558985982,1000.0,0.9800454063971142
1090,-1428570.9753558338,206658.9216205562,253.99410568266705,1000.0,0.9800454063971142
1100,-1427595.3308245838,207745.7294944092,255.32984667949182,1000.0,0.9800454063971142
1110,-1426567.2566058338,208153.8663105789,255.83146715058635,1000.0,0.9800454063971142
1120,-1425843.6452777088,209334.47651430772,257.28249588191073,1000.0,0.9800454063971142
1130,-1424271.7819964588,209628.83281119922,257.6442744288746,1000.0,0.9800454063971142
1140,-1422920.3327777088,209792.73813363863,257.84572223215923,1000.0,0.9800454063971142
1150,-1422652.3913714588,210933.30104076225,259.2475308417173,1000.0,0.9800454063971142
1160,-1421817.9675433338,211750.44678918808,260.25184365800544,1000.0,0.9800454063971142
1170,-1420389.5319964588,211846.19481347068,260.3695227478209,1000.0,0.9800454063971142
1180,-1419113.3444964588,211556.3237580079,260.0132567859248,1000.0,0.9800454063971142
1190,-1416977.0905902088,211068.51037542318,259.41370984704577,1000.0,0.9800454063971142
1200,-1417086.9734027088,212608.14890918654,261.30600227454534,1000.0,0.9800454063971142
